Unnamed: 0.1,Unnamed: 0,brand,name,price,spec_rating,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,display_size,resolution_width,resolution_height,OS,warranty
438,501,Acer,Aspire 5 A515-57 Nx.K2Vsi.002 Laptop,36990,69.32352941,12Th Gen Intel Core I3 1215U,"Hexa Core (2P + 4E), 8 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Integrated Uhd,15.6,1920,1080,Windows 11 Os,1
439,502,Gigabyte,G5 Ke Rc55Ke Laptop,74990,73.0,12Th Gen Intel Core I5 12500H,"12 Cores (4P + 8E), 16 Threads",16Gb,Ddr4,512Gb,Ssd,6Gb Nvidia Geforce Rtx 3060,15.6,1920,1080,Windows 11 Os,2
440,504,Lenovo,Legion 5 Pro 82Rf00E1In Gaming Laptop,144990,69.32352941,12Th Gen Intel Core I7 12700H,"14 Cores (6P + 8E), 20 Threads",32Gb,Ddr5,1Tb,Ssd,8Gb Nvidia Geforce Rtx 3070Ti,16.0,2560,1600,Windows 11 Os,1
441,505,Dell,Latitude 7420 Laptop,118499,69.32352941,11Th Gen Intel Core I7 1185G7,"Quad Core, 8 Threads",16Gb,Ddr4,512Gb,Ssd,Intel Iris Xe Graphics,14.0,1920,1080,Windows 10 Os,3
442,506,Lenovo,V15 82Kda00Xih Laptop,35490,69.32352941,5Th Gen Amd Ryzen 5 5500U,"Hexa Core, 12 Threads",8Gb,Ddr4,512Gb,Ssd,Amd Radeon Graphics,15.6,1920,1080,Windows 11 Os,1
443,507,Lenovo,Ideapad Flex 5 82R90068In Laptop,62889,74.0,5Th Gen Amd Ryzen 7 5700U,"Octa Core, 16 Threads",16Gb,Ddr4,512Gb,Ssd,Amd Radeon,14.0,1920,1200,Windows 11 Os,1
444,508,Lenovo,Ideapad Gaming 3 82K201Yain Laptop,63999,67.0,5Th Gen Amd Ryzen 5  5600H,"Hexa Core, 12 Threads",8Gb,Ddr4,512Gb,Ssd,4Gb Nvidia Geforce Gtx 1650,15.6,1920,1080,Windows 11 Os,1
445,509,Honor,Magicbook 14 Wdq9Bhne Laptop,41990,69.32352941,5Th Gen Amd Ryzen 5  5500U,"Hexa Core, 12 Threads",8Gb,Ddr4,512Gb,Ssd,Amd Radeon,14.0,1920,1080,Windows 11 Os,1
446,510,Asus,Vivobook 14 2022 X1402Za-Mw311Ws Laptop,49990,62.0,12Th Gen Intel Core I3 1220P,"10 Cores (2P + 8E), 12 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Integrated Uhd,14.0,1920,1080,Windows 11 Os,1
447,511,Asus,Vivobook 14 2022 X1402Za-Ek521Ws Laptop,54990,62.0,12Th Gen Intel Core I5 1235U,"10 Cores (2P + 8E), 12 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Integrated Uhd,14.0,1920,1080,Windows 11 Os,1
448,512,Lenovo,Ideapad Gaming 3 82Sa00B2In Laptop,119990,75.0,12Th Gen Intel Core I7 12700H,"14 Cores (6P + 8E), 20 Threads",16Gb,Ddr4,512Gb,Ssd,6Gb Nvidia Geforce Rtx 3060,16.0,1920,1200,Windows 11 Os,1
449,513,Msi,Creator M16 A12Ud-633In Laptop,85990,78.0,12Th Gen Intel Core I7 12700H,"14 Cores (6P + 8E), 20 Threads",16Gb,Ddr4,512Gb,Ssd,4Gb Nvidia Geforce Rtx 3050 Ti,16.0,2560,1660,Windows 11 Os,2
450,514,Msi,Creator Pro M16 A12Uis-634In Gaming Laptop,85590,79.0,12Th Gen Intel Core I7 12700H,"14 Cores (6P + 8E), 20 Threads",16Gb,Ddr4,1Tb,Ssd,4Gb Nvidia Geforce Rtx A1000,16.0,2560,1660,Windows 11 Os,2
451,515,Lenovo,V15 82Kda01Eih Laptop,31990,61.0,5Th Gen Amd Ryzen 3 5300U,"Quad Core, 8 Threads",8Gb,Ddr4,512Gb,Ssd,Amd Radeon Graphics,15.6,1920,1080,Windows 11 Os,1
452,516,Asus,Vivobook S14 Flip 2022 Tn3402Qa-Lz501Ws Laptop,55800,69.32352941,5Th Gen Amd Ryzen 5  5600H,"Hexa Core, 12 Threads",16Gb,Ddr4,512Gb,Ssd,Amd Radeon Graphics,14.0,1920,1200,Windows 11 Os,1
453,517,Xiaomi,Notebook Pro 120G Laptop,72422,68.0,12Th Gen Intel Core I5 12450H,"Octa Core, 12 Threads",16Gb,Lpddr5,512Gb,Ssd,Intel Uhd Graphics,14.0,2560,1600,Windows 11 Os,1
454,518,Acer,Extensa 15 Ex215-54 Laptop,31500,69.32352941,11Th Gen Intel Core I3 1115G4,"Dual Core, 4 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Integrated Uhd,15.6,1920,1080,Windows 11 Os,1
455,519,Asus,Vivobook 14 X415Ea-Ek322Ws Notebook,37990,69.32352941,11Th Gen Intel Core I3 1115G4,"Dual Core, 4 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Integrated Intel Uhd,14.0,1920,1080,Windows 11 Os,1
457,521,Hp,Victus 15-Fb0050Ax Gaming Laptop,63490,71.0,5Th Gen Amd Ryzen 5  5600H,"Hexa Core, 12 Threads",8Gb,Ddr4,512Gb,Ssd,4Gb Nvidia Geforce Rtx 3050,15.6,1920,1080,Windows 11 Os,1
458,522,Lenovo,Ideapad Slim 5 82Sf008Yin Laptop,60990,66.0,12Th Gen Intel Core I5 1235U,"10 Cores (2P + 8E), 12 Threads",16Gb,Ddr4,512Gb,Ssd,Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 Os,1
459,523,Lenovo,Ideapad Slim 3 82Ku017Ein Laptop,39900,64.0,5Th Gen Amd Ryzen 5  5500U,"Hexa Core, 12 Threads",8Gb,Ddr4,512Gb,Ssd,Amd Radeon,15.6,1920,1080,Windows 11 Os,1
460,524,Asus,Vivobook 15 X1500Ea-Ej322Ws Laptop,33990,69.32352941,11Th Gen Intel Core I3 1115G4,"Dual Core, 4 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Uhd Graphics,15.6,1920,1080,Windows 11 Os,1
461,525,Hp,Pavilion 15S-Fq5112Tu Laptop,57580,69.32352941,12Th Gen Intel Core I5 1235U,"10 Cores (2P + 8E), 12 Threads",16Gb,Ddr4,512Gb,Ssd,Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 Os,1
462,526,Asus,Rog Zephyrus Duo 16 2022 Gx650Rxz-Lo227Ws Gaming Laptop,339990,85.0,6Th Gen Amd Ryzen 9  6900Hx,"Octa Core, 16 Threads",32Gb,Ddr5,2Tb,Ssd,16Gb Nvidia Geforce Rtx 3080 Ti,16.0,2560,1600,Windows 11 Os,1
463,527,Hp,15S-Fq2672Tu Laptop,34999,60.0,11Th Gen Intel Core I3 1115G4,"Dual Core, 4 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Integrated Uhd,15.6,1920,1080,Windows 11 Os,1
464,528,Hp,15S-Fq5111Tu Laptop,54990,61.0,12Th Gen Intel Core I5 1235U,"10 Cores (2P + 8E), 12 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Iris Xe,15.6,1920,1080,Windows 11 Os,1
465,529,Hp,15S-Dr3506Tu Laptop,35999,60.0,11Th Gen Intel Core I3 1115G4,"Dual Core, 4 Threads",8Gb,Ddr4,1Tb,Hard-Disk,Intel Uhd Graphics,15.6,1920,1080,Windows 11 Os,1
466,530,Hp,15S-Du3614Tu Laptop,41710,65.0,11Th Gen Intel Core I3 1115G4,"Dual Core, 4 Threads",8Gb,Ddr4,1Tb,Hard-Disk,Intel Integrated Uhd,15.6,1920,1080,Windows 11 Os,1
467,531,Dell,Vostro 5625 Laptop,50090,67.0,5Th Gen Amd Ryzen 5 5625U,"Hexa Core, 12 Threads",8Gb,Ddr4,512Gb,Ssd,Amd Radeon Graphics,16.0,1920,1200,Windows 11 Os,1
468,532,Hp,Pavilion 14S- Fy1003Au Laptop,45890,69.32352941,5Th Gen Amd Ryzen 5  5500U,"Hexa Core, 12 Threads",16Gb,Ddr4,512Gb,Ssd,Amd Radeon Graphics,14.0,1920,1080,Windows 11 Os,1
469,533,Hp,15S-Eq1559Au Laptop,29990,69.32352941,3Rd Gen Amd Athlon Silver 3050U,"Dual Core, 2 Threads",8Gb,Ddr4,512Gb,Ssd,Amd Radeon Graphics,15.6,1366,768,Windows 11 Os,1
470,534,Hp,15S-Fr2511Tu Laptop,37672,69.32352941,11Th Gen Intel Core I3 1115G4,"Dual Core, 4 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Uhd Graphics,15.6,1920,1080,Windows 11 Os,1
471,535,Dell,G15-5525 Gaming Laptop,83523,77.0,6Th Gen Amd Ryzen 7  6800H,"Octa Core, 16 Threads",16Gb,Ddr5,512Gb,Ssd,4Gb Nvidia Geforce Rtx 3050,15.6,1920,1080,Windows 11 Os,1
472,536,Acer,Aspire 5 A515-57G Gaming Laptop,52128,66.0,12Th Gen Intel Core I5 1240P,"12 Cores (4P + 8E), 16 Threads",8Gb,Ddr4,512Gb,Ssd,4Gb Nvidia Geforce Rtx 2050,15.6,1920,1080,Windows 11 Os,1
473,537,Acer,Aspire 3 A315-59 Laptop,39990,69.32352941,12Th Gen Intel Core I5 1235U,"10 Cores (2P + 8E), 12 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 Os,1
474,538,Dell,Inspiron 3525 Laptop,54790,66.0,5Th Gen Amd Ryzen 7  5825U,"Octa Core, 16 Threads",8Gb,Ddr4,512Gb,Ssd,Amd Radeon Radeon Graphics,15.6,1920,1080,Windows 11 Os,1
475,539,Acer,Predator Triton 500 Se Pt516-52S Nh.Qfqsi.001 Laptop,147090,86.0,12Th Gen Intel Core I7 12700H,"14 Cores (6P + 8E), 20 Threads",32Gb,Lpddr5,2Tb,Ssd,8Gb Nvidia Geforce Rtx 3070 Ti,16.0,2560,1600,Windows 11 Os,1
476,540,Hp,Pavilion 14-Dv2041Tu Laptop,67990,61.0,12Th Gen Intel Core I5 1235U,"10 Cores (2P + 8E), 12 Threads",16Gb,Ddr4,512Gb,Ssd,Intel Iris Xe Graphics,14.0,1920,1080,Windows 11 Os,1
477,541,Msi,Thin Gf63 11Sc-853In Gaming Laptop,49290,70.0,11Th Gen Intel Core I5 11400H,"Hexa Core, 12 Threads",8Gb,Ddr4,512Gb,Ssd,4Gb Nvidia Geforce Gtx1650 Max Q,15.6,1920,1080,Windows 10 Os,2
478,542,Asus,Tuf Gaming F15 Fx506Lhb-Hn355Ws Gaming Laptop,51990,62.0,10Th Gen Intel Core I5 10300H,"Quad Core, 8 Threads",8Gb,Ddr4,512Gb,Ssd,4Gb Nvidia Geforce Gtx 1650,15.6,1920,1080,Windows 11  Os,1
479,543,Hp,Pavilion 14-Dv2015Tu Laptop,83149,64.0,12Th Gen Intel Core I7 1255U,"10 Cores (2P + 8E), 12 Threads",16Gb,Ddr4,1Tb,Ssd,Intel Iris Xe Graphics,14.0,1920,1080,Windows 11 Os,1
480,544,Hp,Pavilion 15S-Fq5009Tu Laptop,54999,69.32352941,12Th Gen Intel Core I5 1235U,"10 Cores (2P + 8E), 12 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Iris Xe,15.6,1920,1080,Windows 11 Os,1
481,545,Samsung,Galaxy Book2 15 Laptop,74990,65.0,12Th Gen Intel Core I7 1255U,"10 Cores (2P + 8E), 12 Threads",16Gb,Lpddr4,512Gb,Ssd,Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 Os,1
482,546,Lenovo,Ideapad Gaming 3 82K200X3In Laptop,66990,67.0,5Th Gen Amd Ryzen 7  5800H,"Octa Core, 16 Threads",16Gb,Ddr4,512Gb,Ssd,4Gb Nvidia Geforce Rtx 3050,15.6,1920,1080,Windows 11 Os,1
483,547,Hp,Pavilion 15-Eg2009Tu Laptop,61990,62.0,12Th Gen Intel Core I5 1240P,"12 Cores (4P + 8E), 16 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Iris Xe,15.6,1920,1080,Windows 11 Os,1
484,548,Hp,Pavilion 14-Ec1003Au Laptop,51573,69.32352941,5Th Gen Amd Ryzen 5 5625U,"Hexa Core, 12 Threads",8Gb,Ddr4,512Gb,Ssd,Amd Radeon Graphics,14.0,1920,1080,Windows 11 Os,1
485,549,Acer,Aspire 3 A315-58 Laptop Un.Addsi.036 Laptop,31500,69.32352941,11Th Gen Intel Core I3 1115G4,"Dual Core, 4 Threads",8Gb,Ddr4,256Gb,Ssd,Intel Integrated Uhd,15.6,1920,1080,Windows Os,1
486,551,Acer,Extensa Ex215-54 Nx.Egjsi.00E Laptop,29000,69.32352941,11Th Gen Intel Core I3 1115G4,"Dual Core, 4 Threads",4Gb,Ddr4,256Gb,Ssd,Intel Integrated Uhd,15.6,1920,1080,Windows 11 Os,1
487,552,Hp,15S-Eq2143Au Laptop,32990,69.32352941,5Th Gen Amd Ryzen 3  5300U,"Quad Core, 8 Threads",8Gb,Ddr4,512Gb,Ssd,Amd Radeon Amd,15.6,1920,1080,Windows Os,1
488,554,Lenovo,Ideapad 15Alc6 82Ku017Kin Laptop,36990,69.32352941,5Th Gen Amd Ryzen 5  5500U,"Hexa Core, 12 Threads",8Gb,Ddr4,512Gb,Ssd,Amd Radeon,15.6,1920,1080,Windows 11 Os,1
489,555,Apple,Macbook Pro 14 Inch Mkgq3Hn Laptop,239900,69.32352941,Apple M1 Pro M1 Pro,10 Cores (8P + 2E),16Gb,Unified,1Tb,Ssd,16-Core Gpu,14.2,3024,1964,Mac Os,1
490,556,Apple,Macbook Pro 16 Inch Mk1A3Hn Laptop,309490,60.0,Apple M1 Max M1 Max,10 Cores,32Gb,Unified,1Tb,Ssd,32-Core Gpu,16.2,3456,2234,Mac Os,1
491,557,Dell,Inspiron 3511 Laptop,49990,69.32352941,11Th Gen Intel Core I5 1135G7,"Quad Core, 8 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Iris Xe Graphics,15.6,1920,1080,Windows 10  Os,1
492,558,Dell,Inspiron 3511 Laptop,40250,69.32352941,11Th Gen Intel Core I3 1115G4,"Dual Core, 4 Threads",8Gb,Ddr4,1Tb,Hard-Disk,Intel Integrated,15.6,1920,1080,Windows 10 Os,1
494,560,Asus,Vivobook F571Lh-Bq435T Gaming Laptop,59990,72.0,10Th Gen Intel Core I7 10870H,"Octa Core, 16 Threads",16Gb,Ddr4,512Gb,Ssd,4Gb Nvidia Geforce Gtx 1650,15.6,1920,1080,Windows 10 Os,1
495,561,Dell,Inspiron 3511 Laptop,57990,65.0,11Th Gen Intel Core I5 1135G7,"Quad Core, 8 Threads",8Gb,Ddr4,1Tb,Hard-Disk,2Gb Nvidia Geforce Mx350,15.6,1920,1080,Windows 10 Os,1
496,562,Realme,Book Slim Laptop,36999,69.32352941,11Th Gen Intel Core I3 1115G4,"Dual Core, 4 Threads",8Gb,Lpddr4X,256Gb,Ssd,Intel Uhd Graphics,14.0,1440,2160,Windows 10 Os,1
497,563,Xiaomi,Redmibook Pro 15 Laptop,53990,67.0,5Th Gen Amd Ryzen 5  5600H,"Hexa Core, 12 Threads",16Gb,Ddr4,512Gb,Ssd,Amd Radeon Graphics,15.6,3200,2000,Windows 10  Os,1
498,564,Xiaomi,Redmibook Pro 14 Laptop,48990,62.0,5Th Gen Amd Ryzen 5  5500U,"Hexa Core, 12 Threads",16Gb,Ddr4,512Gb,Ssd,Amd Radeon Graphics,14.0,2560,1600,Windows 10  Os,1
499,565,Vaio,Se14 Np14V3In033P Laptop,39990,69.32352941,11Th Gen Intel Core I5 1135G7,"Quad Core, 8 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Iris Xe Graphics,14.0,1920,1080,Windows 10 Os,2
500,566,Hp,15S-Gr0012Au Laptop,37290,61.0,3Rd Gen Amd Ryzen 3  3250U,"Dual Core, 4 Threads",8Gb,Ddr4,1Tb,Hard-Disk,Amd Radeon Vega 6,15.6,1920,1080,Windows 10 Os,1
501,568,Microsoft,Surface Laptop 3 1873,60390,69.32352941,3Rd Gen Amd Ryzen 5  3580U,"Quad Core, 8 Threads",8Gb,Ddr4,128Gb,Ssd,Amd Radeon Vega 9,15.0,2496,1664,Windows 10 Os,1
502,569,Huawei,Matebook D15 Laptop,54999,65.0,3Rd Gen Amd Ryzen 5 3500U,"Quad Core, 8 Threads",8Gb,Ddr4,256Gb,Ssd,2Gb Nvidia Geforce Mx250,15.6,1920,1080,Windows 10 Os,1
503,570,Hp,Elitebook 840 G6,90464,69.32352941,8Th Gen Intel Core I5 8265U,"Quad Core, 8 Threads",8Gb,Ddr4,512Gb,Ssd,Integrated Uhd Graphics 620,14.0,1920,1080,Windows 10 Os,3
504,571,Acer,Swift Sf514-52T Nx.Gtmsi.025 Laptop,54490,61.0,8Th Gen Intel Core I5 8250U,"Quad Core, 8 Threads",8Gb,Ddr3,512Gb,Ssd,Intel Integrated Uhd 620,14.0,1920,1080,Windows 10 Os,1
507,574,Dell,Latitude 13 5320 2 In 1 Laptop,89999,62.0,11Th Gen Intel Core I5 1135G7,"Quad Core, 8 Threads",8Gb,Ddr4,256Gb,Ssd,Intel Uhd Graphics,13.3,1920,1080,Windows 10  Os,1
508,575,Dell,Latitude 9430 Laptop,260000,62.0,12Th Gen Intel Core I7 1265U,"10 Cores (2P + 8E), 12 Threads",32Gb,Lpddr5,1Tb,Ssd,Intel Iris Xe Graphics,14.1,2560,1600,Windows Os,1
509,576,Acer,Aspire Lite 15 Al15-51 2023  Laptop,45999,64.0,11Th Gen Intel Core I5 1155G7,"Quad Core, 8 Threads",16Gb,Ddr4,1Tb,Ssd,Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 Os,1
511,578,Lenovo,Thinkpad X1 Carbon 21Hms00000 Laptop,221990,64.0,13Th Gen Intel Core I7 1355U,"10 Cores (2P + 8E), 12 Threads",16Gb,Lpddr5,1Tb,Ssd,Intel Iris Xe Graphics,14.0,1920,1200,Windows 11 Os,1
513,580,Acer,Predator Triton 500 Se Pt516-52S Nh.Qfqsi.001 Laptop,146990,86.0,12Th Gen Intel Core I7 12700H,"14 Cores (6P + 8E), 20 Threads",32Gb,Lpddr5,2Tb,Ssd,8Gb Nvidia Geforce Rtx 3070 Ti,16.0,2560,1600,Windows 11 Os,1
514,582,Asus,Tuf Gaming F15 Fx506Lhb-Hn355Ws Gaming Laptop,52990,62.0,10Th Gen Intel Core I5 10300H,"Quad Core, 8 Threads",8Gb,Ddr4,512Gb,Ssd,4Gb Nvidia Geforce Gtx 1650,15.6,1920,1080,Windows 11  Os,1
515,583,Acer,Swift 3 Sf314-512 Nx.K0Fsi.002 Laptop,59990,69.32352941,12Th Gen Intel Core I5 1240P,"12 Cores (4P + 8E), 16 Threads",8Gb,Lpddr4X,512Gb,Ssd,Intel Integrated Iris Xe,14.0,2560,1440,Windows 11 Os,1
516,584,Dell,Inspiron 15 3511 Laptop,52990,69.32352941,11Th Gen Intel Core I5 1135G7,"Quad Core, 8 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Integrated Uhd Graphics,15.6,1920,1080,Windows 11  Os,1
517,585,Samsung,Galaxy Book2 15 Laptop,64490,69.32352941,12Th Gen Intel Core I5 1235U,"10 Cores (2P + 8E), 12 Threads",16Gb,Lpddr4X,512Gb,Ssd,Intel Integrated Iris Xe,15.6,1920,1080,Windows 11 Os,1
518,586,Samsung,Galaxy Book2 Laptop,78990,62.0,12Th Gen Intel Core I5 1240P,"12 Cores (4P + 8E), 16 Threads",8Gb,Lpddr4X,512Gb,Ssd,4Gb Intel Arc A350M Graphics,15.6,1920,1080,Windows 11 Os,1
519,587,Samsung,Galaxy Book2 15 Laptop,59900,69.32352941,12Th Gen Intel Core I5 1235U,"10 Cores, 12 Threads",8Gb,Lpddr4,512Gb,Ssd,Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 Os,1
520,588,Hp,Pavilion 14-Ec1019Au Laptop,55990,69.32352941,5Th Gen Amd Ryzen 5  5625U,"Hexa Core, 12 Threads",16Gb,Ddr4,512Gb,Ssd,Amd Radeon Amd,14.0,1920,1080,Windows 11 Os,1
521,589,Lenovo,V15-Igl 82C3A008Ih Laptop,19990,69.32352941,Intel Celeron  N4020,"Dual Core, 2 Threads",4Gb,Ddr4,256Gb,Ssd,Intel Integrated Uhd,15.6,1920,1080,Dos Os,1
522,590,Realme,Book Prime Laptop,47990,63.0,11Th Gen Intel Core I5 11320H,"Quad Core, 8 Threads",16Gb,Lpddr4X,512Gb,Ssd,Intel Iris Xe Graphics,14.0,2160,1440,Windows 11 Os,1
523,593,Samsung,Galaxy Book2 Pro 360 13 Laptop,112990,72.0,12Th Gen Intel Core I7 1260P,"Octa Core, 16 Threads",16Gb,Lpddr5,512Gb,Ssd,Intel Iris Xe Graphics,13.3,1080,1920,Windows 11 Os,1
524,594,Samsung,Galaxy Book2 Pro 13 Laptop,101990,67.0,12Th Gen Intel Core I7 1260P,"Octa Core, 16 Threads",16Gb,Lpddr5,512Gb,Ssd,Intel Iris Xe Graphics,13.3,1080,1920,Windows 11 Os,1
525,595,Samsung,Galaxy Book2 Pro 360 13 Laptop,102990,71.0,12Th Gen Intel Core I5 1240P,"12 Cores (4P + 8E), 16 Threads",16Gb,Lpddr5,512Gb,Ssd,Intel Iris Xe Graphics,13.3,1080,1920,Windows 11 Os,1
526,596,Asus,Vivobook 13 Slate Oled T3300Ka-Lq122Ws Laptop,33499,69.32352941,Intel Pentium Silver  N6000,"Quad Core, 4 Threads",4Gb,Lpddr4X,128Gb,Hard-Disk,Intel Uhd Graphics,13.3,1920,1080,Windows 11 Os,1
527,597,Hp,15S-Eq2143Au Laptop,33999,69.32352941,5Th Gen Amd Ryzen 3  5300U,"Quad Core, 8 Threads",8Gb,Ddr4,512Gb,Ssd,Amd Radeon Amd,15.6,1920,1080,Windows Os,1
528,599,Apple,Macbook Pro 16 Inch Mk183Hn Laptop,215994,69.32352941,Apple M1 Pro M1 Pro,10 Cores,16Gb,Unified,512Gb,Ssd,16-Core Gpu,16.2,3456,2234,Mac Os,1
529,600,Apple,Macbook Pro 14 Inch Mkgq3Hn Laptop,215994,69.32352941,Apple M1 Pro M1 Pro,10 Cores (8P + 2E),16Gb,Unified,1Tb,Ssd,16-Core Gpu,14.2,3024,1964,Mac Os,1
530,601,Asus,Vivobook X509Fa-Br301T Laptop,26500,69.32352941,10Th Gen Intel Core I3 10110U,"Dual Core, 4 Threads",4Gb,Ddr4,1Tb,Hard-Disk,Intel Uhd Graphics,15.6,1920,1080,Windows 10 Os,1
531,603,Xiaomi,Mi Notebook Pro X 15 Laptop,79990,65.0,11Th Gen Intel Core I5 11300H,"Quad Core, 8 Threads",16Gb,Lpddr4X,512Gb,Ssd,Intel Iris Xe Graphics,15.6,2160,3456,Windows 10  Os,1
532,604,Dell,Inspiron 5518 Laptop,68000,70.0,11Th Gen Intel Core I5 11300H,"Quad Core, 8 Threads",16Gb,Ddr4,512Gb,Ssd,Intel Iris Xe Graphics,15.6,1920,1080,Windows 10 Os,1
533,605,Lenovo,Ideapad 3 15Itl6 82H8014Bin Laptop,47925,60.0,11Th Gen Intel Core I5 1135G7,"Quad Core, 8 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Integrated Iris Xe,15.6,1920,1080,Windows 10 Os,1
534,606,Xiaomi,Redmibook Pro 15 Laptop,59990,70.0,5Th Gen Amd Ryzen 7 5800H,"Octa Core, 16 Threads",16Gb,Ddr4,512Gb,Ssd,Amd Radeon Graphics,15.6,3200,2000,Windows 10  Os,1
535,609,Dell,Latitude 3410 Laptop,67800,69.32352941,10Th Gen Intel Core I5 10210U,"Quad Core, 8 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Hd,14.0,1366,768,Ubuntu Os,1
536,610,Microsoft,Surface Laptop 3 1873,60490,69.32352941,3Rd Gen Amd Ryzen 5  3580U,"Quad Core, 8 Threads",8Gb,Ddr4,128Gb,Ssd,Amd Radeon Vega 9,15.0,2496,1664,Windows 10 Os,1
537,611,Apple,Macbook Air 2020 Laptop,72999,69.32352941,10Th Gen Intel Core I3,"Quad Core, 8 Threads",8Gb,Lpddr4X,256Gb,Ssd,Intel Iris Plus,13.3,2560,1600,Mac 10.15.3	 Os,0
538,612,Apple,Macbook Air 2020 Laptop,109999,69.32352941,10Th Gen Intel Core I7,"Quad Core, 8 Threads",8Gb,Lpddr4X,512Gb,Ssd,Intel Iris Plus,13.3,2560,1600,Mac 10.15.3	 Os,0
539,615,Dell,Inspiron 5370 Laptop,87990,67.0,8Th Gen Intel Core I7 8550U,"Quad Core, 8 Threads",8Gb,Ddr4,256Gb,Ssd,4Gb Geforce Mx130,13.3,1920,1080,Windows 10 Os,1
540,616,Hp,Zbook 15 G6 Laptop,121900,69.0,9Th Gen Intel Core I7 9750H,"Hexa Core, 12 Threads",16Gb,Ddr4,512Gb,Ssd,Intel Uhd Graphics 630,15.6,3840,2160,Windows 10 Os,0
541,617,Asus,Zenbook Pro 15 Ux580Ge-E2032T Laptop,136490,69.32352941,8Th Gen Intel Core I9 8950Hk,"Hexa Core, 12 Threads",16Gb,Ddr4,1Tb,Ssd,4Gb Nvidia Geforce Gtx 1050Ti,15.6,3840,2160,Windows 10 Os,1
542,620,Gigabyte,G5 Mf-E2In313Shlaptop,143700,77.0,12Th Gen Intel Core I5 12500H,"12 Cores (4P + 8E), 16 Threads",8Gb,Ddr4,512Gb,Ssd,6Gb Nvidia Geforce Rtx 4050,15.6,1920,1080,Windows 11 Os,2
543,621,Hp,15S-Er2004Au Laptop,50490,69.32352941,5Th Gen Amd Ryzen 7  5700U,"Octa Core, 16 Threads",16Gb,Ddr4,512Gb,Ssd,Amd Radeon,15.6,1920,1080,Windows 11 Os,1
544,622,Dell,Inspiron 3530 In3530Rmd8W001Ors1 Laptop,71990,69.32352941,13Th Gen Intel Core I5 1335U,"10 Cores (2P + 8E), 12 Threads",16Gb,Ddr4,1Tb,Ssd,Intel Uhd Graphics,15.6,1920,1080,Windows 11 Os,1
545,623,Dell,G15-5530 15 2023 Gaming Laptop,136899,75.0,13Th Gen Intel Core I7 13650Hx,14 Cores (6P + 8E),16Gb,Ddr5,1Tb,Ssd,6Gb Nvidia Geforce Rtx 4050,15.6,1920,1080,Windows 11 Os,1
546,624,Lenovo,Ideapad Flex 5 82R9008Fin Laptop,62990,69.0,5Th Gen Amd Ryzen 5  5500U,"Hexa Core, 12 Threads",16Gb,Ddr4,512Gb,Ssd,Amd Radeon Graphics,14.0,1920,1200,Windows 11 Os,1
547,625,Asus,Vivobook Go 14 E1404Fa-Nk547Ws Laptop,43990,69.32352941,7Th Gen Amd Ryzen 5 7520U,"Quad Core, 8 Threads",8Gb,Lpddr5,512Gb,Ssd,Amd Radeon Amd,14.0,1920,1080,Windows 11 Os,1
548,626,Acer,Aspire 3 A315-24P Nx.Kdesi.00B Laptop,33990,69.32352941,7Th Gen Amd Ryzen 5 7520U,"Quad Core, 8 Threads",8Gb,Lpddr5,512Gb,Ssd,Amd Radeon Amd,15.6,1920,1080,Windows 11 Os,1
549,627,Asus,Vivobook 15X Oled M3504Ya-Lk552Ws Laptop,58990,65.0,7Th Gen Amd Ryzen 5 7530U,"Hexa Core, 12 Threads",16Gb,Ddr4,1Tb,Ssd,Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 Os,1
550,629,Msi,Pulse 15 B13Vgk-1296In Gaming Laptop,154990,71.0,13Th Gen Intel Core I7 13700H,"14 Cores (6P + 8E), 20 Threads",16Gb,Ddr5,1Tb,Ssd,8Gb Nvidia Geforce Rtx 4070,15.6,2560,1440,Windows 11 Os,2
551,630,Msi,Summit B15 A11M-236In Laptop,69990,64.0,11Th Gen Intel Core I7 1185G7,"Quad Core, 8 Threads",16Gb,Ddr4,1Tb,Ssd,Intel Iris Xe,15.6,1920,1080,Windows 10 Os,2
